scale_factor,query,query_num,mean,median,std,min,max,count
4,Q22,22,0.20803633333333335,0.200943,0.02487156477452381,0.187482,0.235684,3
8,Q1,1,11.939505000000002,12.132459,0.3717229892043266,11.510982,12.175074,3
8,Q2,2,3.497246666666667,3.126735,0.6968667559543456,3.063904,4.301101,3
8,Q3,3,8.704986666666667,8.999147,2.3662655786991307,6.205394,10.910419,3
8,Q4,4,4.335609,4.420889,0.5260452509290432,3.772134,4.813804,3
8,Q5,5,7.057413666666666,7.035774,0.056825639832151296,7.014587,7.12188,3
8,Q6,6,2.4470616666666665,2.849531,0.9034600691598569,1.412308,3.079346,3
8,Q7,7,5.032019333333333,4.984195,0.4643741629293491,4.593408,5.518455,3
8,Q8,8,5.7755176666666665,6.27278,3.2938045401338454,2.261355,8.792418,3
8,Q9,9,23.723505666666668,26.172405,5.069145881953815,17.894883,27.103229,3
8,Q10,10,6.096111,6.014949,0.30905008830932224,5.835741,6.437643,3
8,Q11,11,2.6863829999999997,1.298496,2.4181240058828664,1.282077,5.478576,3
8,Q12,12,11.260739666666666,8.689616,5.503124656089696,7.51377,17.578833,3
8,Q13,13,5.350748,4.38469,1.873912730104313,4.156995,7.510559,3
8,Q14,14,5.091227,5.362742,2.443760350378285,2.523048,7.387891,3
8,Q15,15,5.325037666666667,4.995357,0.5840002645378968,4.980428,5.999328,3
8,Q16,16,1.8251026666666668,1.402579,0.885011977219706,1.230541,2.842188,3
8,Q17,17,9.304809333333333,9.809698,1.039663083554154,8.109118,9.995612,3
8,Q18,18,33.010724333333336,30.827767,4.135778337124625,30.423795,37.780611,3
8,Q19,19,0.8425769999999999,0.325503,0.9098408197607976,0.3091,1.893128,3
8,Q20,20,109.09782066666666,109.84328,1.585564951280556,107.276908,110.173274,3
8,Q21,21,75.23046433333333,75.186494,11.451681811515824,63.800831,86.704068,3
8,Q22,22,0.34105633333333335,0.303509,0.07351000618509924,0.293903,0.425757,3
